user_id,content_id,action,event_time,device,region,session_id
112,1001,pause,2023-09-07 13:28:56,mobile,EU,s8359
158,1006,forward,2023-09-07 23:06:20,desktop,EU,s7201
132,1005,pause,2023-09-07 21:59:30,mobile,US,s3286
111,1006,play,2023-09-07 23:47:23,mobile,APAC,s5012
175,1008,skip,2023-09-07 21:07:26,desktop,APAC,s1750
154,1000,skip,2023-09-07 19:19:22,mobile,APAC,s2519
127,1002,forward,2023-09-07 07:54:06,desktop,APAC,s1106
114,1004,pause,2023-09-07 13:54:35,tablet,APAC,s2291
182,1008,play,2023-09-07 19:59:42,tablet,EU,s1409
123,1004,skip,2023-09-07 10:22:00,mobile,US,s6635
184,1006,play,2023-09-07 04:47:40,mobile,US,s2139
167,1003,forward,2023-09-07 13:29:21,mobile,EU,s7873
192,1005,play,2023-09-07 01:09:10,tablet,US,s2291
110,1004,forward,2023-09-07 21:27:31,tablet,EU,s6574
134,1003,play,2023-09-07 11:27:07,desktop,APAC,s2291
175,1007,skip,2023-09-07 01:14:25,tablet,US,s2824
126,1004,pause,2023-09-07 04:48:16,desktop,EU,s9935
100,1007,forward,2023-09-07 05:08:24,tablet,APAC,s4811
164,1008,skip,2023-09-07 02:25:55,tablet,US,s5552
102,1007,play,2023-09-07 10:36:27,tablet,EU,s6925
181,1006,skip,2023-09-07 03:25:01,desktop,US,s8527
158,1005,play,2023-09-07 13:54:06,mobile,EU,s5333
151,1008,play,2023-09-07 12:55:19,tablet,EU,s4811
142,1002,play,2023-09-07 16:40:07,tablet,APAC,s2535
199,1005,skip,2023-09-07 23:52:41,mobile,US,s2679
118,1004,pause,2023-09-07 05:38:09,tablet,US,s1488
