user_id,content_id,action,event_time,device,region,session_id
136,1003,forward,2023-09-03 18:38:41,desktop,EU,s3547
156,1010,pause,2023-09-03 16:30:50,tablet,US,s7201
110,1004,skip,2023-09-03 02:52:48,mobile,APAC,s7873
128,1003,pause,2023-09-03 00:02:15,desktop,APAC,s4733
109,1007,forward,2023-09-03 20:36:12,tablet,APAC,s3615
163,1006,pause,2023-09-03 04:41:44,mobile,US,s4733
154,1003,pause,2023-09-03 22:33:29,mobile,APAC,s9279
115,1007,pause,2023-09-03 14:42:33,tablet,APAC,s4611
196,1007,forward,2023-09-03 17:28:57,mobile,APAC,s6514
157,1004,pause,2023-09-03 20:17:49,tablet,EU,s9785
130,1004,forward,2023-09-03 02:45:18,mobile,EU,s8359
140,1008,play,2023-09-03 04:09:14,desktop,APAC,s7912
190,1003,play,2023-09-03 13:26:21,tablet,EU,s6574
107,1003,forward,2023-09-03 12:57:49,tablet,APAC,s1409
197,1009,forward,2023-09-03 15:00:22,desktop,EU,s6574
168,1008,pause,2023-09-03 15:14:17,desktop,EU,s1409
149,1005,forward,2023-09-03 23:10:53,desktop,US,s8527
168,1000,forward,2023-09-03 18:36:42,mobile,US,s3045
154,1002,forward,2023-09-03 05:03:16,desktop,EU,s4582
158,1005,skip,2023-09-03 12:17:48,desktop,EU,s3286
160,1000,play,2023-09-03 11:14:41,mobile,APAC,s5506
196,1000,pause,2023-09-03 06:53:01,tablet,US,s9279
116,1007,play,2023-09-03 18:13:29,tablet,EU,s4733
147,1002,play,2023-09-03 05:19:06,tablet,US,s7873
