user_id,content_id,action,event_time,device,region,session_id
186,1006,forward,2023-09-04 22:12:04,tablet,APAC,s9785
131,1001,skip,2023-09-04 21:38:51,mobile,APAC,s5506
144,1008,forward,2023-09-04 21:23:04,tablet,APAC,s8359
101,1006,forward,2023-09-04 03:27:23,tablet,EU,s6925
119,1006,pause,2023-09-04 23:33:41,desktop,APAC,s2584
199,1007,forward,2023-09-04 13:52:46,tablet,EU,s4611
131,1001,skip,2023-09-04 14:15:48,desktop,APAC,s8527
185,1006,skip,2023-09-04 00:31:54,desktop,US,s2674
127,1005,skip,2023-09-04 10:17:56,tablet,APAC,s4257
171,1000,pause,2023-09-04 02:15:46,desktop,EU,s6881
197,1003,forward,2023-09-04 20:45:31,desktop,US,s3286
137,1003,forward,2023-09-04 22:15:19,tablet,APAC,s1106
160,1008,skip,2023-09-04 13:47:35,desktop,EU,s5803
158,1004,skip,2023-09-04 08:14:07,tablet,US,s4611
115,1008,pause,2023-09-04 06:13:47,desktop,EU,s4150
175,1008,skip,2023-09-04 03:53:12,desktop,US,s1106
122,1004,play,2023-09-04 22:34:08,desktop,US,s5012
170,1004,pause,2023-09-04 20:55:48,desktop,US,s2824
173,1004,forward,2023-09-04 15:28:21,mobile,US,s1434
161,1001,play,2023-09-04 12:31:04,tablet,APAC,s2291
106,1002,pause,2023-09-04 18:19:05,mobile,US,s6881
197,1006,pause,2023-09-04 16:24:28,desktop,EU,s5333
154,1004,play,2023-09-04 19:47:06,mobile,APAC,s4582
133,1010,play,2023-09-04 05:15:11,tablet,US,s1520
100,1006,forward,2023-09-04 22:38:30,desktop,US,s4811
136,1004,forward,2023-09-04 02:43:14,desktop,APAC,s5333
184,1003,forward,2023-09-04 03:34:14,tablet,US,s4257
118,1001,play,2023-09-04 05:50:19,tablet,APAC,s6635
136,1007,play,2023-09-04 14:44:19,tablet,EU,s4257
