user_id,content_id,action,event_time,device,region,session_id
169,1007,forward,2023-09-05 02:38:02,desktop,APAC,s4611
177,1004,play,2023-09-05 02:14:43,tablet,APAC,s1409
197,1010,skip,2023-09-05 18:02:48,mobile,EU,s7224
183,1007,skip,2023-09-05 05:37:27,tablet,EU,s3286
160,1005,forward,2023-09-05 10:20:42,mobile,US,s8359
152,1007,skip,2023-09-05 21:25:52,tablet,US,s4527
111,1005,skip,2023-09-05 10:07:49,desktop,APAC,s2824
184,1008,forward,2023-09-05 13:03:12,tablet,EU,s8527
196,1007,forward,2023-09-05 01:13:17,tablet,US,s9928
156,1007,play,2023-09-05 00:40:38,mobile,APAC,s1520
139,1008,play,2023-09-05 17:26:05,mobile,US,s4527
115,1010,pause,2023-09-05 15:59:45,desktop,APAC,s6925
134,1006,forward,2023-09-05 15:15:29,tablet,US,s3615
124,1009,pause,2023-09-05 02:17:49,desktop,EU,s2519
134,1000,skip,2023-09-05 23:19:53,tablet,APAC,s7201
162,1002,forward,2023-09-05 17:30:22,desktop,APAC,s1750
169,1006,forward,2023-09-05 10:55:12,tablet,US,s6635
149,1003,forward,2023-09-05 01:20:47,desktop,APAC,s3615
149,1010,pause,2023-09-05 15:02:08,tablet,APAC,s8359
112,1007,play,2023-09-05 16:58:29,mobile,APAC,s7912
152,1010,pause,2023-09-05 02:30:50,desktop,EU,s8527
188,1006,play,2023-09-05 10:54:43,tablet,EU,s4611
180,1007,play,2023-09-05 19:04:15,tablet,APAC,s9928
129,1001,forward,2023-09-05 03:48:40,tablet,US,s3547
121,1004,play,2023-09-05 01:20:50,mobile,EU,s5557
147,1006,pause,2023-09-05 07:33:26,tablet,APAC,s1488
121,1002,play,2023-09-05 19:55:24,tablet,APAC,s9279
163,1009,pause,2023-09-05 07:29:40,desktop,EU,s1434
